player_name,season,team
Akshdeep Nath,2026,Royal Challengers Bengaluru
Albie Morkel,2014,Royal Challengers Bengaluru
Albie Morkel,2015,Delhi Capitals
Albie Morkel,2026,Delhi Capitals
Alex Carey,2020,Delhi Capitals
Alex Carey,2026,Delhi Capitals
Alex Hales,2022,Kolkata Knight Riders
Alex Hales,2026,Kolkata Knight Riders
Allah Ghazanfar,2025,Mumbai Indians
Allah Ghazanfar,2026,Mumbai Indians
Alzarri Joseph,2022,Gujarat Titans
Alzarri Joseph,2024,Royal Challengers Bengaluru
Alzarri Joseph,2026,Royal Challengers Bengaluru
Aman Hakim Khan,2022,Kolkata Knight Riders
Aman Hakim Khan,2023,Delhi Capitals
Aman Khan,2022,Kolkata Knight Riders
Aman Khan,2026,Chennai Super Kings
Aman Rao Perala,2026,Rajasthan Royals
Ambati Rayudu,2018,Chennai Super Kings
Ambati Rayudu,2022,Chennai Super Kings
Ambati Rayudu,2026,Chennai Super Kings
Amit Kumar,2026,Sunrisers Hyderabad
Amit Mishra,2014,Rajasthan Royals
Amit Mishra,2015,Delhi Capitals
Amit Mishra,2016,Gujarat Lions
Amit Mishra,2018,Delhi Capitals
Amit Mishra,2023,Lucknow Super Giants
Amit Mishra,2026,Lucknow Super Giants
Amit Paunikar,2014,Sunrisers Hyderabad
Amit Paunikar,2026,Sunrisers Hyderabad
Anand Rajan,2011,Deccan Chargers
Anand Rajan,2012,Deccan Chargers
Anand Rajan,2013,Sunrisers Hyderabad
Andre Russell,2014,Kolkata Knight Riders
Andre Russell,2026,Kolkata Knight Riders
Andre Siddarth,2025,Chennai Super Kings
Andre Siddarth,2026,Chennai Super Kings
Andrew Tye,2015,Chennai Super Kings
Andrew Tye,2016,Gujarat Lions
Andrew Tye,2018,Punjab Kings
Andrew Tye,2020,Rajasthan Royals
Andrew Tye,2026,Rajasthan Royals
Aneeshwar Gautam,2022,Royal Challengers Bengaluru
Aneeshwar Gautam,2026,Royal Challengers Bengaluru
Angelo Mathews,2015,Delhi Capitals
Angelo Mathews,2017,Delhi Capitals
Angelo Mathews,2026,Delhi Capitals
Angkrish Raghuvanshi,2024,Kolkata Knight Riders
Angkrish Raghuvanshi,2025,Kolkata Knight Riders
Angkrish Raghuvanshi,2026,Kolkata Knight Riders
Aniket Choudhary,2017,Royal Challengers Bengaluru
Aniket Choudhary,2018,Royal Challengers Bengaluru
Aniket Choudhary,2026,Royal Challengers Bengaluru
Aniket Verma,2025,Sunrisers Hyderabad
Aniket Verma,2026,Sunrisers Hyderabad
Anirudh Singh,2010,Deccan Chargers
Anirudha Ashok Joshi,2018,Royal Challengers Bengaluru
Anirudha Ashok Joshi,2020,Rajasthan Royals
Anirudha Ashok Joshi,2026,Rajasthan Royals
Ankeet Bawane,2017,Delhi Capitals
Ankeet Bawane,2026,Delhi Capitals
Ankit Nagendra Sharma,2014,Rajasthan Royals
Ankit Nagendra Sharma,2026,Rajasthan Royals
Ankit Sharma,2012,Deccan Chargers
Ankit Sharma,2013,Sunrisers Hyderabad
Ankit Sharma,2014,Rajasthan Royals
Ankit Sharma,2015,Rajasthan Royals
Ankit Sharma,2016,Rising Pune Supergiant
Ankit Sharma,2017,Rising Pune Supergiant
Ankit Sharma,2018,Rajasthan Royals
Ankit Sharma,2026,Rajasthan Royals
Ankit Singh Rajpoot,2016,Kolkata Knight Riders
Ankit Singh Rajpoot,2018,Punjab Kings
Ankit Singh Rajpoot,2022,Lucknow Super Giants
Ankit Singh Rajpoot,2026,Lucknow Super Giants
Ankit Soni,2017,Gujarat Lions
Ankush Bains,2014,Rajasthan Royals
Ankush Bains,2015,Chennai Super Kings
Ankush Bains,2016,Rising Pune Supergiant
Ankush Bains,2019,Delhi Capitals
Ankush Bains,2026,Delhi Capitals
Anmolpreet Singh,2019,Mumbai Indians
Anmolpreet Singh,2021,Mumbai Indians
Anmolpreet Singh,2022,Mumbai Indians
Anmolpreet Singh,2023,Sunrisers Hyderabad
Anmolpreet Singh,2024,Sunrisers Hyderabad
Anmolpreet Singh,2026,Sunrisers Hyderabad
Anrich Nortje,2019,Kolkata Knight Riders
Anrich Nortje,2025,Kolkata Knight Riders
Anrich Nortje,2026,Lucknow Super Giants
Ansh Patel,2022,Punjab Kings
Ansh Patel,2026,Punjab Kings
Anshul Kamboj,2024,Mumbai Indians
Anshul Kamboj,2025,Chennai Super Kings
Anshul Kamboj,2026,Chennai Super Kings
Anuj Rawat,2020,Rajasthan Royals
Anuj Rawat,2021,Rajasthan Royals
Anuj Rawat,2022,Royal Challengers Bengaluru
Anuj Rawat,2023,Royal Challengers Bengaluru
Anuj Rawat,2024,Royal Challengers Bengaluru
Anuj Rawat,2025,Gujarat Titans
Anuj Rawat,2026,Gujarat Titans
Anukul Roy,2018,Mumbai Indians
Anukul Roy,2022,Kolkata Knight Riders
Anukul Roy,2025,Kolkata Knight Riders
Anukul Roy,2026,Kolkata Knight Riders
Anunay Singh,2022,Rajasthan Royals
Anunay Singh,2026,Rajasthan Royals
Anureet Singh,2009,Kolkata Knight Riders
Anureet Singh,2014,Punjab Kings
Anureet Singh,2015,Punjab Kings
Anureet Singh,2016,Punjab Kings
Anureet Singh,2017,Punjab Kings
Anureet Singh,2018,Rajasthan Royals
Anureet Singh,2026,Rajasthan Royals
Apoorv Vijay Wankhade,2014,Mumbai Indians
