player_name,season,team
FY Fazal,2011,Rajasthan Royals
Fabian Allen,2020,Sunrisers Hyderabad
Fabian Allen,2021,Punjab Kings
Fabian Allen,2022,Mumbai Indians
Fabian Allen,2026,Mumbai Indians
Faf Du Plessis,2014,Chennai Super Kings
Faf Du Plessis,2018,Chennai Super Kings
Faf Du Plessis,2022,Royal Challengers Bengaluru
Faf Du Plessis,2025,Delhi Capitals
Faf Du Plessis,2026,Delhi Capitals
Farhaan Behardien,2016,Punjab Kings
Farhaan Behardien,2026,Punjab Kings
Fazalhaq Farooqi,2022,Sunrisers Hyderabad
Fazalhaq Farooqi,2023,Sunrisers Hyderabad
Fazalhaq Farooqi,2025,Rajasthan Royals
Fazalhaq Farooqi,2026,Rajasthan Royals
Fidel Edwards,2013,Rajasthan Royals
Fidel Edwards,2026,Rajasthan Royals
Finn Allen,2022,Royal Challengers Bengaluru
Finn Allen,2026,Kolkata Knight Riders
G Coetzee,2024,Mumbai Indians
G Gambhir,2008,Delhi Capitals
G Gambhir,2009,Delhi Capitals
G Gambhir,2010,Delhi Capitals
G Gambhir,2011,Kolkata Knight Riders
G Gambhir,2012,Kolkata Knight Riders
G Gambhir,2013,Kolkata Knight Riders
G Gambhir,2014,Kolkata Knight Riders
G Gambhir,2015,Kolkata Knight Riders
G Gambhir,2016,Kolkata Knight Riders
G Gambhir,2017,Kolkata Knight Riders
G Gambhir,2018,Delhi Capitals
GB Hogg,2012,Rajasthan Royals
GB Hogg,2013,Rajasthan Royals
GB Hogg,2015,Kolkata Knight Riders
GB Hogg,2016,Kolkata Knight Riders
GC Smith,2008,Rajasthan Royals
GC Smith,2009,Rajasthan Royals
GC Smith,2010,Rajasthan Royals
GC Smith,2011,Pune Warriors
GC Viljoen,2019,Punjab Kings
GD McGrath,2008,Delhi Capitals
GD Phillips,2021,Rajasthan Royals
GD Phillips,2023,Sunrisers Hyderabad
GH Vihari,2013,Sunrisers Hyderabad
GH Vihari,2015,Sunrisers Hyderabad
GH Vihari,2019,Delhi Capitals
GHS Garton,2021,Royal Challengers Bengaluru
GJ Bailey,2009,Chennai Super Kings
GJ Bailey,2010,Chennai Super Kings
GJ Bailey,2014,Punjab Kings
GJ Bailey,2015,Punjab Kings
GJ Bailey,2016,Rising Pune Supergiant
GJ Maxwell,2012,Delhi Capitals
GJ Maxwell,2013,Mumbai Indians
GJ Maxwell,2014,Punjab Kings
GJ Maxwell,2015,Punjab Kings
GJ Maxwell,2016,Punjab Kings
GJ Maxwell,2017,Punjab Kings
GJ Maxwell,2018,Delhi Capitals
GJ Maxwell,2020,Punjab Kings
GJ Maxwell,2021,Royal Challengers Bengaluru
GJ Maxwell,2022,Royal Challengers Bengaluru
GJ Maxwell,2023,Royal Challengers Bengaluru
GJ Maxwell,2024,Royal Challengers Bengaluru
GR Napier,2009,Mumbai Indians
GS Sandhu,2015,Delhi Capitals
Gagandeep Singh,2008,Punjab Kings
Gautam Gambhir,2018,Delhi Capitals
Gautam Gambhir,2026,Delhi Capitals
George Bailey,2014,Punjab Kings
George Bailey,2026,Punjab Kings
Gerald Coetzee,2024,Mumbai Indians
Gerald Coetzee,2025,Gujarat Titans
Gerald Coetzee,2026,Gujarat Titans
Glenn Maxwell,2013,Mumbai Indians
Glenn Maxwell,2014,Punjab Kings
Glenn Maxwell,2018,Delhi Capitals
Glenn Maxwell,2020,Punjab Kings
Glenn Maxwell,2021,Royal Challengers Bengaluru
Glenn Maxwell,2025,Punjab Kings
Glenn Maxwell,2026,Punjab Kings
Glenn Phillips,2022,Sunrisers Hyderabad
Glenn Phillips,2025,Gujarat Titans
Glenn Phillips,2026,Gujarat Titans
Gulbadin Naib,2024,Delhi Capitals
Gurinder Sandhu,2015,Delhi Capitals
Gurinder Sandhu,2026,Delhi Capitals
Gurjapneet Singh,2025,Chennai Super Kings
Gurjapneet Singh,2026,Chennai Super Kings
Gurkeerat Singh,2012,Punjab Kings
Gurkeerat Singh,2013,Punjab Kings
Gurkeerat Singh,2015,Punjab Kings
Gurkeerat Singh,2016,Punjab Kings
Gurkeerat Singh,2019,Royal Challengers Bengaluru
Gurkeerat Singh,2020,Royal Challengers Bengaluru
Gurkeerat Singh,2022,Gujarat Titans
Gurkeerat Singh,2026,Gujarat Titans
Gurkeerat Singh Mann,2018,Delhi Capitals
Gurkeerat Singh Mann,2019,Royal Challengers Bengaluru
Gurkeerat Singh Mann,2026,Royal Challengers Bengaluru
Gurkirat Singh Mann,2014,Punjab Kings
Gurkirat Singh Mann,2026,Punjab Kings
Gurnoor Brar,2023,Punjab Kings
Gurnoor Singh Brar,2025,Gujarat Titans
Gurnoor Singh Brar,2026,Gujarat Titans
Gus Atkinson,2024,Kolkata Knight Riders
Gus Atkinson,2026,Kolkata Knight Riders
H Das,2008,Deccan Chargers
H Klaasen,2018,Rajasthan Royals
H Klaasen,2019,Royal Challengers Bengaluru
H Klaasen,2023,Sunrisers Hyderabad
H Klaasen,2024,Sunrisers Hyderabad
H Sharma,2023,Royal Challengers Bengaluru
H Sharma,2024,Royal Challengers Bengaluru
HC Brook,2023,Sunrisers Hyderabad
HE van der Dussen,2022,Rajasthan Royals
HF Gurney,2019,Kolkata Knight Riders
HH Gibbs,2008,Deccan Chargers
HH Gibbs,2009,Deccan Chargers
HH Gibbs,2010,Deccan Chargers
HH Gibbs,2012,Mumbai Indians
HH Pandya,2015,Mumbai Indians
HH Pandya,2016,Mumbai Indians
HH Pandya,2017,Mumbai Indians
HH Pandya,2018,Mumbai Indians
HH Pandya,2019,Mumbai Indians
HH Pandya,2020,Mumbai Indians
HH Pandya,2021,Mumbai Indians
HH Pandya,2022,Gujarat Titans
HH Pandya,2023,Gujarat Titans
HH Pandya,2024,Mumbai Indians
HM Amla,2016,Punjab Kings
HM Amla,2017,Punjab Kings
HR Shokeen,2022,Mumbai Indians
HR Shokeen,2023,Mumbai Indians
HS Sharath,2014,Delhi Capitals
HS Sharath,2026,Delhi Capitals
HV Patel,2012,Royal Challengers Bengaluru
HV Patel,2014,Royal Challengers Bengaluru
HV Patel,2015,Royal Challengers Bengaluru
HV Patel,2016,Royal Challengers Bengaluru
HV Patel,2017,Royal Challengers Bengaluru
HV Patel,2018,Delhi Capitals
HV Patel,2019,Delhi Capitals
HV Patel,2020,Delhi Capitals
HV Patel,2021,Royal Challengers Bengaluru
HV Patel,2022,Royal Challengers Bengaluru
HV Patel,2023,Royal Challengers Bengaluru
HV Patel,2024,Punjab Kings
Hanuma Vihari,2015,Sunrisers Hyderabad
Hanuma Vihari,2019,Delhi Capitals
Hanuma Vihari,2026,Delhi Capitals
Harbhajan Singh,2008,Mumbai Indians
Harbhajan Singh,2009,Mumbai Indians
Harbhajan Singh,2010,Mumbai Indians
Harbhajan Singh,2011,Mumbai Indians
Harbhajan Singh,2012,Mumbai Indians
Harbhajan Singh,2013,Mumbai Indians
Harbhajan Singh,2014,Mumbai Indians
Harbhajan Singh,2015,Mumbai Indians
Harbhajan Singh,2016,Mumbai Indians
Harbhajan Singh,2017,Mumbai Indians
Harbhajan Singh,2018,Chennai Super Kings
Harbhajan Singh,2019,Chennai Super Kings
Harbhajan Singh,2021,Kolkata Knight Riders
Harbhajan Singh,2026,Kolkata Knight Riders
Hardik Pandya,2015,Mumbai Indians
Hardik Pandya,2026,Mumbai Indians
Hardus Viljoen,2019,Punjab Kings
Hardus Viljoen,2026,Punjab Kings
Harmeet Singh,2009,Deccan Chargers
Harmeet Singh,2010,Deccan Chargers
Harmeet Singh,2011,Deccan Chargers
Harmeet Singh,2012,Punjab Kings
Harmeet Singh,2013,Punjab Kings
Harnoor Pannu,2025,Punjab Kings
Harnoor Pannu,2026,Punjab Kings
Harpreet Bhatia,2023,Punjab Kings
Harpreet Bhatia,2026,Punjab Kings
Harpreet Brar,2019,Punjab Kings
Harpreet Brar,2020,Punjab Kings
Harpreet Brar,2021,Punjab Kings
Harpreet Brar,2022,Punjab Kings
Harpreet Brar,2023,Punjab Kings
Harpreet Brar,2024,Punjab Kings
Harpreet Brar,2025,Punjab Kings
Harpreet Brar,2026,Punjab Kings
Harpreet Singh,2011,Pune Warriors
Harpreet Singh,2012,Pune Warriors
Harpreet Singh,2023,Punjab Kings
Harpreet Singh,2024,Punjab Kings
Harry Brook,2023,Sunrisers Hyderabad
Harry Brook,2024,Delhi Capitals
Harry Brook,2025,Delhi Capitals
Harry Brook,2026,Delhi Capitals
Harry Gurney,2019,Kolkata Knight Riders
Harry Gurney,2026,Kolkata Knight Riders
Harshal Patel,2014,Royal Challengers Bengaluru
Harshal Patel,2018,Delhi Capitals
Harshal Patel,2022,Royal Challengers Bengaluru
Harshal Patel,2024,Punjab Kings
Harshal Patel,2025,Sunrisers Hyderabad
Harshal Patel,2026,Sunrisers Hyderabad
Harshit Rana,2022,Kolkata Knight Riders
Harshit Rana,2023,Kolkata Knight Riders
Harshit Rana,2024,Kolkata Knight Riders
Heinrich Klaasen,2019,Royal Challengers Bengaluru
Heinrich Klaasen,2023,Sunrisers Hyderabad
Heinrich Klaasen,2026,Sunrisers Hyderabad
Himanshu Sharma,2023,Royal Challengers Bengaluru
Himanshu Sharma,2026,Royal Challengers Bengaluru
Himmat Singh,2019,Royal Challengers Bengaluru
Himmat Singh,2025,Lucknow Super Giants
Himmat Singh,2026,Lucknow Super Giants
Hrithik Shokeen,2022,Mumbai Indians
Hrithik Shokeen,2026,Mumbai Indians
I Malhotra,2011,Deccan Chargers
I Sharma,2008,Kolkata Knight Riders
I Sharma,2009,Kolkata Knight Riders
I Sharma,2010,Kolkata Knight Riders
I Sharma,2011,Deccan Chargers
I Sharma,2013,Sunrisers Hyderabad
I Sharma,2014,Sunrisers Hyderabad
I Sharma,2015,Sunrisers Hyderabad
I Sharma,2016,Rising Pune Supergiant
I Sharma,2017,Punjab Kings
I Sharma,2019,Delhi Capitals
I Sharma,2020,Delhi Capitals
I Sharma,2021,Delhi Capitals
I Sharma,2023,Delhi Capitals
I Sharma,2024,Delhi Capitals
I Udana,2020,Royal Challengers Bengaluru
IC Pandey,2013,Pune Warriors
IC Pandey,2014,Chennai Super Kings
IC Pandey,2015,Chennai Super Kings
IC Porel,2021,Punjab Kings
IK Pathan,2008,Punjab Kings
IK Pathan,2009,Punjab Kings
IK Pathan,2010,Punjab Kings
IK Pathan,2011,Delhi Capitals
IK Pathan,2012,Delhi Capitals
IK Pathan,2013,Delhi Capitals
IK Pathan,2014,Sunrisers Hyderabad
IK Pathan,2016,Rising Pune Supergiant
IK Pathan,2017,Gujarat Lions
IR Jaggi,2011,Deccan Chargers
IR Jaggi,2012,Deccan Chargers
IR Jaggi,2017,Kolkata Knight Riders
IS Sodhi,2018,Rajasthan Royals
IS Sodhi,2019,Rajasthan Royals
Imran Tahir,2014,Delhi Capitals
Imran Tahir,2015,Delhi Capitals
Imran Tahir,2016,Delhi Capitals
Imran Tahir,2017,Rising Pune Supergiant
Imran Tahir,2018,Chennai Super Kings
Imran Tahir,2019,Chennai Super Kings
Imran Tahir,2020,Chennai Super Kings
Imran Tahir,2021,Chennai Super Kings
Imran Tahir,2026,Chennai Super Kings
Iqbal Abdulla,2008,Kolkata Knight Riders
Iqbal Abdulla,2010,Kolkata Knight Riders
Iqbal Abdulla,2011,Kolkata Knight Riders
Iqbal Abdulla,2012,Kolkata Knight Riders
Iqbal Abdulla,2013,Kolkata Knight Riders
Iqbal Abdulla,2014,Rajasthan Royals
Iqbal Abdulla,2015,Royal Challengers Bengaluru
Iqbal Abdulla,2016,Royal Challengers Bengaluru
Iqbal Abdulla,2017,Royal Challengers Bengaluru
Iqbal Abdullah,2014,Rajasthan Royals
Iqbal Abdullah,2016,Royal Challengers Bengaluru
Iqbal Abdullah,2026,Royal Challengers Bengaluru
Irfan Pathan,2014,Sunrisers Hyderabad
Irfan Pathan,2015,Chennai Super Kings
Irfan Pathan,2016,Rising Pune Supergiant
Irfan Pathan,2026,Rising Pune Supergiant
Ishan Kishan,2016,Gujarat Lions
Ishan Kishan,2017,Gujarat Lions
Ishan Kishan,2018,Mumbai Indians
Ishan Kishan,2019,Mumbai Indians
Ishan Kishan,2020,Mumbai Indians
Ishan Kishan,2021,Mumbai Indians
Ishan Kishan,2022,Mumbai Indians
Ishan Kishan,2023,Mumbai Indians
Ishan Kishan,2024,Mumbai Indians
Ishan Kishan,2025,Sunrisers Hyderabad
Ishan Kishan,2026,Sunrisers Hyderabad
Ishan Porel,2020,Punjab Kings
Ishan Porel,2022,Punjab Kings
Ishan Porel,2026,Punjab Kings
Ishank Jaggi,2017,Kolkata Knight Riders
Ishank Jaggi,2018,Kolkata Knight Riders
Ishank Jaggi,2026,Kolkata Knight Riders
Ishant Sharma,2014,Sunrisers Hyderabad
Ishant Sharma,2016,Rising Pune Supergiant
Ishant Sharma,2019,Delhi Capitals
Ishant Sharma,2023,Delhi Capitals
Ishant Sharma,2025,Gujarat Titans
Ishant Sharma,2026,Gujarat Titans
Ishwar Chandra Pandey,2014,Chennai Super Kings
Ishwar Chandra Pandey,2016,Rising Pune Supergiant
Ishwar Chandra Pandey,2026,Rising Pune Supergiant
Isuru Udana,2020,Royal Challengers Bengaluru
Isuru Udana,2026,Royal Challengers Bengaluru
J Arunkumar,2008,Royal Challengers Bengaluru
J Botha,2009,Rajasthan Royals
J Botha,2011,Rajasthan Royals
J Botha,2012,Rajasthan Royals
J Botha,2013,Delhi Capitals
J Botha,2015,Kolkata Knight Riders
J Fraser-McGurk,2024,Delhi Capitals
J Little,2023,Gujarat Titans
J Little,2024,Gujarat Titans
J Suchith,2015,Mumbai Indians
J Suchith,2016,Mumbai Indians
J Suchith,2019,Delhi Capitals
J Suchith,2021,Sunrisers Hyderabad
J Suchith,2022,Sunrisers Hyderabad
J Suchith,2026,Sunrisers Hyderabad
J Syed Mohammad,2011,Royal Challengers Bengaluru
J Syed Mohammad,2012,Royal Challengers Bengaluru
J Syed Mohammad,2013,Royal Challengers Bengaluru
J Theron,2010,Punjab Kings
J Theron,2012,Deccan Chargers
J Theron,2015,Rajasthan Royals
J Yadav,2015,Delhi Capitals
J Yadav,2016,Delhi Capitals
J Yadav,2017,Delhi Capitals
J Yadav,2019,Mumbai Indians
J Yadav,2020,Mumbai Indians
J Yadav,2021,Mumbai Indians
J Yadav,2023,Gujarat Titans
J. Suchitch,2015,Mumbai Indians
J. Suchitch,2026,Mumbai Indians
JA Morkel,2008,Chennai Super Kings
JA Morkel,2009,Chennai Super Kings
JA Morkel,2010,Chennai Super Kings
JA Morkel,2011,Chennai Super Kings
JA Morkel,2012,Chennai Super Kings
JA Morkel,2013,Chennai Super Kings
JA Morkel,2014,Royal Challengers Bengaluru
JA Morkel,2015,Delhi Capitals
JA Morkel,2016,Rising Pune Supergiant
JA Richardson,2021,Punjab Kings
JA Richardson,2024,Delhi Capitals
JC Archer,2018,Rajasthan Royals
JC Archer,2019,Rajasthan Royals
JC Archer,2020,Rajasthan Royals
JC Archer,2023,Mumbai Indians
JC Buttler,2016,Mumbai Indians
JC Buttler,2017,Mumbai Indians
JC Buttler,2018,Rajasthan Royals
JC Buttler,2019,Rajasthan Royals
JC Buttler,2020,Rajasthan Royals
JC Buttler,2021,Rajasthan Royals
JC Buttler,2022,Rajasthan Royals
JC Buttler,2023,Rajasthan Royals
JC Buttler,2024,Rajasthan Royals
JD Ryder,2009,Royal Challengers Bengaluru
JD Ryder,2011,Pune Warriors
JD Ryder,2012,Pune Warriors
JD Unadkat,2010,Kolkata Knight Riders
JD Unadkat,2011,Kolkata Knight Riders
JD Unadkat,2012,Kolkata Knight Riders
JD Unadkat,2013,Royal Challengers Bengaluru
JD Unadkat,2014,Delhi Capitals
JD Unadkat,2015,Delhi Capitals
JD Unadkat,2016,Kolkata Knight Riders
JD Unadkat,2017,Rising Pune Supergiant
JD Unadkat,2018,Rajasthan Royals
JD Unadkat,2019,Rajasthan Royals
JD Unadkat,2020,Rajasthan Royals
JD Unadkat,2021,Rajasthan Royals
JD Unadkat,2022,Mumbai Indians
JD Unadkat,2023,Lucknow Super Giants
JD Unadkat,2024,Sunrisers Hyderabad
JDP Oram,2008,Chennai Super Kings
JDP Oram,2009,Chennai Super Kings
JDP Oram,2011,Rajasthan Royals
JDP Oram,2013,Mumbai Indians
JDS Neesham,2014,Delhi Capitals
JDS Neesham,2020,Punjab Kings
JDS Neesham,2021,Mumbai Indians
JDS Neesham,2022,Rajasthan Royals
JE Root,2023,Rajasthan Royals
JE Taylor,2011,Pune Warriors
JEC Franklin,2011,Mumbai Indians
JEC Franklin,2012,Mumbai Indians
JH Kallis,2008,Royal Challengers Bengaluru
JH Kallis,2009,Royal Challengers Bengaluru
JH Kallis,2010,Royal Challengers Bengaluru
JH Kallis,2011,Kolkata Knight Riders
JH Kallis,2012,Kolkata Knight Riders
JH Kallis,2013,Kolkata Knight Riders
JH Kallis,2014,Kolkata Knight Riders
JJ Bumrah,2013,Mumbai Indians
JJ Bumrah,2014,Mumbai Indians
JJ Bumrah,2015,Mumbai Indians
JJ Bumrah,2016,Mumbai Indians
JJ Bumrah,2017,Mumbai Indians
JJ Bumrah,2018,Mumbai Indians
JJ Bumrah,2019,Mumbai Indians
JJ Bumrah,2020,Mumbai Indians
JJ Bumrah,2021,Mumbai Indians
JJ Bumrah,2022,Mumbai Indians
JJ Bumrah,2024,Mumbai Indians
JJ Roy,2017,Gujarat Lions
JJ Roy,2018,Delhi Capitals
JJ Roy,2021,Sunrisers Hyderabad
JJ Roy,2023,Kolkata Knight Riders
JJ van der Wath,2011,Royal Challengers Bengaluru
JL Denly,2019,Kolkata Knight Riders
JL Pattinson,2020,Mumbai Indians
JM Bairstow,2019,Sunrisers Hyderabad
JM Bairstow,2020,Sunrisers Hyderabad
JM Bairstow,2021,Sunrisers Hyderabad
JM Bairstow,2022,Punjab Kings
JM Bairstow,2024,Punjab Kings
JM Kemp,2010,Chennai Super Kings
JM Sharma,2022,Punjab Kings
JM Sharma,2023,Punjab Kings
JM Sharma,2024,Punjab Kings
JO Holder,2013,Chennai Super Kings
JO Holder,2014,Sunrisers Hyderabad
JO Holder,2016,Kolkata Knight Riders
JO Holder,2020,Sunrisers Hyderabad
JO Holder,2021,Sunrisers Hyderabad
JO Holder,2022,Lucknow Super Giants
JO Holder,2023,Rajasthan Royals
JP Behrendorff,2019,Mumbai Indians
JP Behrendorff,2023,Mumbai Indians
JP Duminy,2009,Mumbai Indians
JP Duminy,2010,Mumbai Indians
JP Duminy,2011,Deccan Chargers
JP Duminy,2012,Deccan Chargers
JP Duminy,2014,Delhi Capitals
JP Duminy,2015,Delhi Capitals
JP Duminy,2016,Delhi Capitals
JP Duminy,2018,Mumbai Indians
JP Faulkner,2011,Pune Warriors
JP Faulkner,2012,Punjab Kings
JP Faulkner,2013,Rajasthan Royals
JP Faulkner,2014,Rajasthan Royals
JP Faulkner,2015,Rajasthan Royals
JP Faulkner,2016,Gujarat Lions
JP Faulkner,2017,Gujarat Lions
JPR Scantlebury-Searles,2018,Kolkata Knight Riders
JR Hazlewood,2020,Chennai Super Kings
JR Hazlewood,2021,Chennai Super Kings
JR Hazlewood,2022,Royal Challengers Bengaluru
JR Hazlewood,2023,Royal Challengers Bengaluru
JR Hopes,2008,Punjab Kings
JR Hopes,2011,Delhi Capitals
JR Philippe,2020,Royal Challengers Bengaluru
JW Hastings,2014,Chennai Super Kings
JW Hastings,2016,Kolkata Knight Riders
Jack Edwards,2026,Sunrisers Hyderabad
Jacob Bethell,2025,Royal Challengers Bengaluru
Jacob Bethell,2026,Royal Challengers Bengaluru
Jacob Duffy,2026,Royal Challengers Bengaluru
Jacob Oram,2013,Mumbai Indians
Jacob Oram,2026,Mumbai Indians
Jacques Kallis,2014,Kolkata Knight Riders
Jacques Kallis,2026,Kolkata Knight Riders
Jagadeesha Suchith,2022,Sunrisers Hyderabad
Jagadeesha Suchith,2026,Sunrisers Hyderabad
Jake Fraser-Mcgurk,2025,Delhi Capitals
Jake Fraser-Mcgurk,2026,Delhi Capitals
Jalaj S Saxena,2021,Punjab Kings
Jalaj Saxena,2014,Mumbai Indians
Jalaj Saxena,2015,Royal Challengers Bengaluru
Jalaj Saxena,2019,Delhi Capitals
Jalaj Saxena,2021,Punjab Kings
Jalaj Saxena,2026,Punjab Kings
James Faulkner,2013,Rajasthan Royals
James Faulkner,2026,Rajasthan Royals
James Neesham,2014,Delhi Capitals
James Neesham,2015,Kolkata Knight Riders
James Neesham,2020,Punjab Kings
James Neesham,2021,Mumbai Indians
James Neesham,2022,Rajasthan Royals
James Neesham,2026,Rajasthan Royals
Jamie Overton,2025,Chennai Super Kings
Jamie Overton,2026,Chennai Super Kings
Jaskaran Singh,2009,Deccan Chargers
Jaskaran Singh,2010,Deccan Chargers
Jaskaran Singh,2016,Rising Pune Supergiant
Jaskaran Singh,2026,Rising Pune Supergiant
Jason Behrendorff,2018,Mumbai Indians
Jason Behrendorff,2022,Royal Challengers Bengaluru
Jason Behrendorff,2026,Royal Challengers Bengaluru
Jason Holder,2013,Chennai Super Kings
Jason Holder,2014,Sunrisers Hyderabad
Jason Holder,2016,Kolkata Knight Riders
Jason Holder,2022,Lucknow Super Giants
Jason Holder,2023,Rajasthan Royals
Jason Holder,2026,Gujarat Titans
Jason Roy,2017,Gujarat Lions
Jason Roy,2018,Delhi Capitals
Jason Roy,2020,Delhi Capitals
Jason Roy,2022,Gujarat Titans
Jason Roy,2026,Gujarat Titans
Jasprit Bumrah,2014,Mumbai Indians
Jasprit Bumrah,2026,Mumbai Indians
Jatin Saxena,2018,Rajasthan Royals
Jatin Saxena,2026,Rajasthan Royals
Javon Searless,2018,Kolkata Knight Riders
Javon Searless,2026,Kolkata Knight Riders
Jayant Yadav,2014,Delhi Capitals
Jayant Yadav,2018,Delhi Capitals
Jayant Yadav,2022,Gujarat Titans
Jayant Yadav,2025,Gujarat Titans
Jayant Yadav,2026,Gujarat Titans
Jaydev Shah,2016,Gujarat Lions
Jaydev Shah,2026,Gujarat Lions
Jaydev Unadkat,2013,Royal Challengers Bengaluru
Jaydev Unadkat,2014,Delhi Capitals
Jaydev Unadkat,2015,Delhi Capitals
Jaydev Unadkat,2016,Kolkata Knight Riders
Jaydev Unadkat,2017,Rising Pune Supergiant
Jaydev Unadkat,2018,Rajasthan Royals
Jaydev Unadkat,2019,Rajasthan Royals
Jaydev Unadkat,2020,Rajasthan Royals
Jaydev Unadkat,2022,Mumbai Indians
Jaydev Unadkat,2023,Lucknow Super Giants
Jaydev Unadkat,2024,Sunrisers Hyderabad
Jaydev Unadkat,2025,Sunrisers Hyderabad
Jaydev Unadkat,2026,Sunrisers Hyderabad
Jean-Paul Duminy,2014,Delhi Capitals
Jean-Paul Duminy,2018,Mumbai Indians
Jean-Paul Duminy,2026,Mumbai Indians
Jeevan Mendis,2013,Delhi Capitals
Jeevan Mendis,2026,Delhi Capitals
Jesse Ryder,2013,Delhi Capitals
Jesse Ryder,2026,Delhi Capitals
Jhathavedh Subramanyan,2024,Sunrisers Hyderabad
Jhathavedh Subramanyan,2026,Sunrisers Hyderabad
Jhye Richardson,2021,Punjab Kings
Jhye Richardson,2023,Mumbai Indians
Jhye Richardson,2024,Delhi Capitals
Jhye Richardson,2026,Delhi Capitals
Jitesh Sharma,2016,Mumbai Indians
Jitesh Sharma,2022,Punjab Kings
Jitesh Sharma,2025,Royal Challengers Bengaluru
Jitesh Sharma,2026,Royal Challengers Bengaluru
Joe Denly,2019,Kolkata Knight Riders
Joe Denly,2026,Kolkata Knight Riders
Joe Root,2023,Rajasthan Royals
Joe Root,2026,Rajasthan Royals
Joel Paris,2016,Delhi Capitals
Joel Paris,2026,Delhi Capitals
Jofra Archer,2018,Rajasthan Royals
Jofra Archer,2022,Mumbai Indians
Jofra Archer,2025,Rajasthan Royals
Jofra Archer,2026,Rajasthan Royals
Joginder Sharma,2008,Chennai Super Kings
Joginder Sharma,2009,Chennai Super Kings
Joginder Sharma,2010,Chennai Super Kings
Joginder Sharma,2011,Chennai Super Kings
Johan Botha,2013,Delhi Capitals
Johan Botha,2026,Delhi Capitals
John Hastings,2014,Chennai Super Kings
John Hastings,2016,Kolkata Knight Riders
John Hastings,2026,Kolkata Knight Riders
Jonny Bairstow,2019,Sunrisers Hyderabad
Jonny Bairstow,2022,Punjab Kings
Jonny Bairstow,2026,Punjab Kings
Jordan Cox,2026,Royal Challengers Bengaluru
Jos Buttler,2016,Mumbai Indians
Jos Buttler,2018,Rajasthan Royals
Jos Buttler,2025,Gujarat Titans
Jos Buttler,2026,Gujarat Titans
Josh Hazlewood,2014,Mumbai Indians
Josh Hazlewood,2020,Chennai Super Kings
Josh Hazlewood,2022,Royal Challengers Bengaluru
Josh Hazlewood,2025,Royal Challengers Bengaluru
Josh Hazlewood,2026,Royal Challengers Bengaluru
Josh Inglis,2025,Punjab Kings
Josh Inglis,2026,Lucknow Super Giants
Joshua Little,2023,Gujarat Titans
Joshua Little,2026,Gujarat Titans
Joshua Philippe,2020,Royal Challengers Bengaluru
Joshua Philippe,2026,Royal Challengers Bengaluru
Juan Theron,2015,Rajasthan Royals
Juan Theron,2026,Rajasthan Royals
K Goel,2008,Punjab Kings
K Goel,2009,Punjab Kings
K Goel,2010,Punjab Kings
K Gowtham,2018,Rajasthan Royals
K Gowtham,2019,Rajasthan Royals
K Gowtham,2020,Punjab Kings
K Gowtham,2022,Lucknow Super Giants
K Gowtham,2023,Lucknow Super Giants
K Gowtham,2024,Lucknow Super Giants
K Kartikeya,2022,Mumbai Indians
K Kartikeya,2023,Mumbai Indians
K Khejroliya,2018,Royal Challengers Bengaluru
K Khejroliya,2019,Royal Challengers Bengaluru
K Khejroliya,2023,Kolkata Knight Riders
K Rabada,2017,Delhi Capitals
K Rabada,2019,Delhi Capitals
K Rabada,2020,Delhi Capitals
K Rabada,2021,Delhi Capitals
K Rabada,2022,Punjab Kings
K Rabada,2023,Punjab Kings
K Rabada,2024,Punjab Kings
K Santokie,2014,Mumbai Indians
K Upadhyay,2012,Pune Warriors
K Upadhyay,2013,Pune Warriors
K Yadav,2021,Rajasthan Royals
K Yadav,2023,Rajasthan Royals
K. Gowtham,2022,Lucknow Super Giants
K. Gowtham,2026,Lucknow Super Giants
K.Bhagath Varma,2021,Chennai Super Kings
K.Bhagath Varma,2022,Chennai Super Kings
K.Bhagath Varma,2026,Chennai Super Kings
K.C Cariappa,2021,Rajasthan Royals
K.C Cariappa,2022,Rajasthan Royals
K.C Cariappa,2026,Rajasthan Royals
K.C. Cariappa,2015,Kolkata Knight Riders
K.C. Cariappa,2016,Punjab Kings
K.C. Cariappa,2026,Punjab Kings
K.K. Jiyaz,2015,Delhi Capitals
K.K. Jiyaz,2026,Delhi Capitals
K.M. Asif,2022,Chennai Super Kings
K.M. Asif,2023,Rajasthan Royals
K.M. Asif,2026,Rajasthan Royals
K.S. Bharat,2022,Delhi Capitals
K.S. Bharat,2023,Gujarat Titans
K.S. Bharat,2024,Kolkata Knight Riders
K.S. Bharat,2026,Kolkata Knight Riders
KA Jamieson,2021,Royal Challengers Bengaluru
KA Maharaj,2024,Rajasthan Royals
KA Pollard,2010,Mumbai Indians
KA Pollard,2011,Mumbai Indians
KA Pollard,2012,Mumbai Indians
KA Pollard,2013,Mumbai Indians
KA Pollard,2014,Mumbai Indians
KA Pollard,2015,Mumbai Indians
KA Pollard,2016,Mumbai Indians
KA Pollard,2017,Mumbai Indians
KA Pollard,2018,Mumbai Indians
KA Pollard,2019,Mumbai Indians
KA Pollard,2020,Mumbai Indians
KA Pollard,2021,Mumbai Indians
KA Pollard,2022,Mumbai Indians
KAJ Roach,2010,Deccan Chargers
KB Arun Karthik,2010,Chennai Super Kings
KB Arun Karthik,2011,Royal Challengers Bengaluru
KB Arun Karthik,2013,Royal Challengers Bengaluru
